metro,date,upt,year,month,baseline_monthly_mean,pct_of_baseline,jan2019_upt,index_jan2019_100,upt_12m_avg
Chicago,2019-02-01,41942342,2019,2,45198820.2,0.9279521415472698,40896269,102.55786903201366,47472641.75
Chicago,2019-03-01,46272427,2019,3,50656980.0,0.9134462220211311,40896269,113.14583978308632,47267630.166666664
Chicago,2019-04-01,46802243,2019,4,49157274.6,0.9520919005546332,40896269,114.44135160593744,47198263.5
Chicago,2019-05-01,49006624,2019,5,51113222.0,0.9587856543263894,40896269,119.83152790783922,47092722.666666664
Chicago,2019-06-01,46936553,2019,6,50755660.2,0.9247550483049376,40896269,114.76976787295683,46950543.416666664
Chicago,2019-07-01,47808843,2019,7,50134314.8,0.9536151673903002,40896269,116.9027008307286,46891348.0
Chicago,2019-08-01,48343054,2019,8,51053404.2,0.9469114696175343,40896269,118.20895935519205,46730483.333333336
Chicago,2019-09-01,48432620,2019,9,51562059.0,0.939307330609121,40896269,118.42796710868662,46648062.5
Chicago,2019-10-01,51518035,2019,10,54155936.8,0.9512906256290631,40896269,125.97245729188646,46448109.416666664
Chicago,2019-11-01,44395185,2019,11,48094651.8,0.9230794555830426,40896269,108.55558730797668,46255163.75
Chicago,2019-12-01,41865765,2019,12,44379024.8,0.9433682959162276,40896269,102.3706221220327,46184996.666666664
Chicago,2020-01-01,44727626,2020,1,45894020.6,0.9745850421307389,40896269,109.3684756426069,46504276.416666664
Chicago,2020-02-01,42794870,2020,2,45198820.2,0.9468138728098925,40896269,104.64247973329792,46575320.416666664
Chicago,2020-03-01,27603754,2020,3,50656980.0,0.5449151133762811,40896269,67.49699832031132,45019597.666666664
Chicago,2020-04-01,9074074,2020,4,49157274.6,0.18459269912412923,40896269,22.188024046887993,41875583.583333336
Chicago,2020-05-01,10182691,2020,5,51113222.0,0.1992183353262293,40896269,24.898826345259025,38640255.833333336
Chicago,2020-06-01,11799943,2020,6,50755660.2,0.23248526279636492,40896269,28.853348455821237,35712205.0
Chicago,2020-07-01,14826027,2020,7,50134314.8,0.2957261320743133,40896269,36.25276183507107,32963637.0
Chicago,2020-08-01,14748330,2020,8,51053404.2,0.2888804425699785,40896269,36.06277628895682,30164076.666666668
Chicago,2020-09-01,15168774,2020,9,51562059.0,0.2941847997187234,40896269,37.0908505125492,27392089.5
Chicago,2020-10-01,15702966,2020,10,54155936.8,0.2899583485738908,40896269,38.39706257800681,24407500.416666668
Chicago,2020-11-01,13000616,2020,11,48094651.8,0.2703131328211425,40896269,31.78924708266175,21791286.333333332
Chicago,2020-12-01,12833384,2020,12,44379024.8,0.28917679146478226,40896269,31.380329584588758,19371921.25
Chicago,2021-01-01,12389041,2021,1,45894020.6,0.26994891356282696,40896269,30.293817267291544,16677039.166666666
Chicago,2021-02-01,11965474,2021,2,45198820.2,0.26472978602215813,40896269,29.258106650266804,14107922.833333334
Chicago,2021-03-01,15628106,2021,3,50656980.0,0.30850844246933,40896269,38.21401409502661,13109952.166666666
Chicago,2021-04-01,15938313,2021,4,49157274.6,0.3242310142230709,40896269,38.97253561198944,13681972.083333334
Chicago,2021-05-01,17170417,2021,5,51113222.0,0.3359290674338628,40896269,41.98528966053113,14264282.583333334
Chicago,2021-06-01,19280465,2021,6,50755660.2,0.37986827329260114,40896269,47.144801888896026,14887659.416666666
Chicago,2021-07-01,21712845,2021,7,50134314.8,0.4330934827097707,40896269,53.09248381557741,15461560.916666666
Chicago,2021-08-01,22179623,2021,8,51053404.2,0.43443964898231013,40896269,54.233854437919504,16080835.333333334
Chicago,2021-09-01,24297660,2021,9,51562059.0,0.47123137576798474,40896269,59.41290145563156,16841575.833333332
Chicago,2021-10-01,24273883,2021,10,54155936.8,0.4482220128449519,40896269,59.35476167764839,17555818.916666668
Chicago,2021-11-01,22155287,2021,11,48094651.8,0.4606600977616393,40896269,54.17434778708052,18318708.166666668
Chicago,2021-12-01,20104850,2021,12,44379024.8,0.4530259529272036,40896269,49.16059702169897,18924663.666666668
Chicago,2022-01-01,16569817,2022,1,45894020.6,0.36104522513767295,40896269,40.51669603405631,19273061.666666668
Chicago,2022-02-01,18815799,2022,2,45198820.2,0.416289604833535,40896269,46.008595551833835,19843922.083333332
Chicago,2022-03-01,24026532,2022,3,50656980.0,0.4742985468142791,40896269,58.74993633282293,20543790.916666668
Chicago,2022-04-01,23256343,2022,4,49157274.6,0.47310074021068693,40896269,56.866661846341046,21153626.75
Chicago,2022-05-01,24798768,2022,5,51113222.0,0.4851732493013256,40896269,60.638216165880564,21789322.666666668
Chicago,2022-06-01,25285492,2022,6,50755660.2,0.4981807329539967,40896269,61.82835896350349,22289741.583333332
Chicago,2022-07-01,24741859,2022,7,50134314.8,0.49351146213331715,40896269,60.49906166256878,22542159.416666668
Chicago,2022-08-01,26497632,2022,8,51053404.2,0.5190179267223085,40896269,64.79229682296935,22901993.5
Chicago,2022-09-01,27621134,2022,9,51562059.0,0.535687180374236,40896269,67.53949608459394,23178949.666666668
Chicago,2022-10-01,27727953,2022,10,54155936.8,0.5120020931851003,40896269,67.80069106059528,23466788.833333332
Chicago,2022-11-01,24802755,2022,11,48094651.8,0.515707133157787,40896269,60.64796522147289,23687411.166666668
Chicago,2022-12-01,22199441,2022,12,44379024.8,0.500223722806996,40896269,54.28231362621367,23861960.416666668
Chicago,2023-01-01,23594716,2023,1,45894020.6,0.5141130738063947,40896269,57.69405517163436,24447368.666666668
Chicago,2023-02-01,22874693,2023,2,45198820.2,0.5060904886185502,40896269,55.93344713181537,24785609.833333332
Chicago,2023-03-01,27152705,2023,3,50656980.0,0.5360111281801639,40896269,66.39408841916607,25046124.25
Chicago,2023-04-01,26047324,2023,4,49157274.6,0.5298773012123011,40896269,63.691198823051565,25278706.0
Chicago,2023-05-01,28885508,2023,5,51113222.0,0.5651279036958382,40896269,70.63115708672592,25619267.666666668
Chicago,2023-06-01,28260107,2023,6,50755660.2,0.5567872999512279,40896269,69.10191978637464,25867152.25
Chicago,2023-07-01,27456784,2023,7,50134314.8,0.5476644910683012,40896269,67.13762568414249,26093396.0
Chicago,2023-08-01,30723408,2023,8,51053404.2,0.6017896060298364,40896269,75.12521007723223,26445544.0
Chicago,2023-09-01,30618188,2023,9,51562059.0,0.5938123611394184,40896269,74.86792499335331,26695298.5
Chicago,2023-10-01,31896957,2023,10,54155936.8,0.588983570126332,40896269,77.99478480543054,27042715.5
Chicago,2023-11-01,28506546,2023,11,48094651.8,0.5927175877796874,40896269,69.70451509892015,27351364.75
Chicago,2023-12-01,26183317,2023,12,44379024.8,0.5899930680766109,40896269,64.02373037990337,27683354.416666668
Chicago,2024-01-01,25728056,2024,1,45894020.6,0.5605971249335256,40896269,62.91052125072828,27861132.75
